Car_Brand,Car_Name,Year,Mileage_kmpl,Fuel_Type,Transmission,Engine_CC,Horsepower_HP,Battery_Capacity_kWh,Performance_Score,Total_Kilometres,Total_Seats,Car_Price_INR,Selling_Price
Toyota,Fortuner,2022,27.9,Electric,Manual,3300,279.9,28.7,6.9,53355,6,3876774,3034154
BMW,3 Series,2025,28.26,Hybrid,Automatic,1400,150.7,33.1,9.3,8887,7,3683282,3683282
MG,Hector,2003,13.29,Electric,Automatic,2100,166.1,35.0,9.3,122802,7,1627042,325408
Renault,Kwid,2017,27.19,Petrol,Manual,3300,273.8,0.0,6.7,116083,6,2260471,1014763
Toyota,Innova,2010,14.46,Hybrid,Manual,2000,173.6,36.0,9.9,83754,7,3791504,758300
Mercedes,GLA,2020,20.13,CNG,Manual,1900,173.0,0.0,7.5,188326,6,812750,632519
Tata,Tiago,2006,14.46,Petrol,Automatic,800,78.2,0.0,9.1,154081,4,3432252,686450
Kia,Seltos,2019,27.79,Diesel,Manual,3900,297.6,0.0,5.0,144444,7,3801543,2540843
Mahindra,Scorpio,2021,21.97,Petrol,Manual,1100,126.5,0.0,6.3,17200,7,3094766,2454388
Mahindra,Scorpio,2024,27.05,Hybrid,Automatic,1400,129.6,42.0,9.7,74500,4,2258878,2125395
Mercedes,C-Class,2011,10.03,Diesel,Manual,1400,133.2,0.0,5.8,136453,5,852491,170498
BMW,3 Series,2015,12.34,CNG,Automatic,1000,98.5,0.0,5.6,20797,7,3675092,1516037
Toyota,Glanza,2020,29.1,CNG,Manual,3500,278.1,0.0,9.3,139277,7,3217273,2357945
Renault,Duster,2005,15.78,Electric,Manual,2200,174.9,21.1,9.3,113793,7,1214453,242890
Nissan,Sunny,2019,25.78,CNG,Manual,2800,216.7,0.0,9.6,125791,7,2184363,1212803
BMW,X1,2010,14.12,Diesel,Manual,3500,255.5,0.0,10.0,16066,6,3974321,794864
Tata,Safari,2022,20.11,Hybrid,Automatic,1100,123.1,58.6,5.1,8904,5,660796,524565
Mahindra,XUV300,2007,28.74,Electric,Manual,1900,182.7,60.0,7.5,134623,4,1439098,287819
Tata,Safari,2000,25.44,CNG,Automatic,1200,113.1,0.0,9.1,121161,5,3378779,675755
Nissan,Sunny,2000,17.09,CNG,Manual,2300,196.3,0.0,10.0,110996,5,469567,93913
Maruti,WagonR,2017,26.03,Electric,Automatic,3400,263.4,78.7,8.0,24378,6,3193032,1529282
Kia,Sonet,2013,16.79,Hybrid,Manual,1200,129.4,48.9,9.4,98437,6,3676228,1273819
Skoda,Slavia,2018,22.58,CNG,Automatic,4000,293.4,0.0,5.2,92174,4,3553406,1740257
Kia,Sonet,2003,11.51,Petrol,Automatic,2500,201.3,0.0,6.3,124902,7,815139,163027
Hyundai,i10,2021,12.94,Hybrid,Automatic,2300,174.7,51.1,8.6,125215,7,3819029,2856346
Honda,WRV,2000,24.2,CNG,Manual,1200,131.7,0.0,5.5,110748,6,3815202,763040
Tata,Tiago,2012,10.15,Diesel,Manual,4000,305.6,0.0,8.4,47931,4,2908067,926109
Mahindra,XUV700,2001,13.78,Petrol,Automatic,2900,227.3,0.0,5.6,133443,5,2853654,570730
BMW,X3,2022,26.24,Electric,Manual,3700,301.1,73.4,8.0,186050,5,1952179,1674011
Mahindra,Bolero,2009,14.98,CNG,Manual,2100,180.4,0.0,7.8,173343,6,2943974,657342
Toyota,Glanza,2012,21.1,Electric,Automatic,1000,103.0,67.1,6.3,135998,7,799772,267180
Kia,Seltos,2012,20.07,Hybrid,Automatic,2600,232.6,65.3,9.3,45597,7,3960654,815191
Hyundai,Verna,2019,20.0,CNG,Automatic,3900,292.4,0.0,6.0,193133,7,3847258,2406274
Mahindra,Thar,2003,19.53,Diesel,Manual,2500,220.4,0.0,7.2,115769,4,1902667,380533
Ford,Ecosport,2010,24.8,Electric,Automatic,3000,258.4,41.3,8.7,23051,6,2849852,1345034
Mahindra,Thar,2005,19.34,Petrol,Manual,900,84.5,0.0,6.1,8605,6,2471343,509718
Mercedes,GLA,2008,25.24,Electric,Manual,2600,194.5,52.1,6.2,59691,5,1395312,375165
Mahindra,XUV300,2021,19.32,Petrol,Manual,2300,189.9,0.0,6.5,32588,6,863726,644201
Renault,Kwid,2010,17.01,Electric,Automatic,2200,179.1,36.1,8.4,114271,4,2107988,421597
Toyota,Glanza,2001,25.13,Hybrid,Manual,1800,163.8,38.7,7.3,33136,5,2825903,565180
Honda,WRV,2019,12.92,Electric,Manual,2900,238.8,20.9,7.1,98885,7,1365622,1111048
Mercedes,A-Class,2019,26.32,Petrol,Automatic,2100,179.1,0.0,6.6,101622,5,1014371,720829
Honda,WRV,2000,18.78,Petrol,Manual,1600,154.8,0.0,5.5,23383,4,1782938,356587
Toyota,Fortuner,2006,23.82,Hybrid,Automatic,1700,155.4,30.1,6.1,125047,4,1660503,332100
Mercedes,E-Class,2013,13.75,CNG,Automatic,3900,313.5,0.0,6.2,10649,7,546592,121773
Tata,Safari,2012,28.13,Diesel,Manual,2100,183.9,0.0,8.4,95391,6,2582548,574691
Honda,Amaze,2001,15.53,Hybrid,Automatic,1700,140.4,21.1,6.3,38128,4,3670220,734044
Skoda,Kushaq,2012,12.01,Hybrid,Manual,3500,291.2,67.5,9.8,143033,4,1382767,341445
MG,Hector,2004,12.36,Diesel,Automatic,3100,260.8,0.0,5.7,73016,6,1211426,242285
Ford,Ecosport,2006,17.98,Diesel,Manual,3500,277.6,0.0,5.8,69749,7,1240019,248003
Skoda,Rapid,2016,19.12,Electric,Manual,1000,87.7,38.9,7.7,51510,5,1039124,553344
Hyundai,Verna,2000,14.28,Electric,Automatic,1500,122.8,55.5,6.8,168211,7,3105540,621108
Nissan,Magnite,2015,18.61,Electric,Automatic,3500,254.3,76.4,6.3,165227,5,827871,294261
MG,Gloster,2007,29.1,CNG,Manual,2000,158.5,0.0,9.4,25164,6,2722856,557971
Nissan,Kicks,2014,20.81,Petrol,Manual,2900,219.8,0.0,9.5,115264,4,3774893,1986973
Ford,Ecosport,2020,17.2,Diesel,Automatic,1200,122.5,0.0,9.3,81100,7,3950604,3249524
Toyota,Glanza,2020,17.38,Petrol,Manual,1400,130.1,0.0,5.6,132215,6,2827898,1794914
Renault,Kwid,2013,15.76,Diesel,Automatic,2200,171.3,0.0,9.3,128623,4,2220072,735575
Kia,Sonet,2023,22.57,CNG,Automatic,2500,198.2,0.0,8.4,80035,6,2224739,2076180
Mercedes,E-Class,2013,12.81,Diesel,Automatic,3100,253.0,0.0,9.3,101823,5,3818364,2275615
BMW,X3,2024,27.6,Diesel,Manual,3800,278.0,0.0,9.6,89860,7,1374017,1315967
Honda,City,2016,27.34,Petrol,Manual,1000,95.0,0.0,10.0,23558,7,1175629,707255
Hyundai,Verna,2006,15.14,Hybrid,Automatic,3900,310.8,59.8,8.5,29491,5,3635698,727139
MG,Astor,2013,25.17,CNG,Automatic,2900,227.3,0.0,5.6,105992,6,2844272,568854
Mahindra,Thar,2020,22.53,Diesel,Manual,2200,173.8,0.0,5.1,90522,7,2468977,1603432
Ford,Aspire,2014,16.36,Petrol,Automatic,800,97.8,0.0,5.0,78357,5,2298506,792983
Mercedes,E-Class,2024,27.67,Hybrid,Manual,1500,141.1,79.5,7.9,118947,5,1461698,1406597
BMW,3 Series,2019,23.7,Petrol,Automatic,1800,146.9,0.0,5.2,199698,4,1205407,952603
Tata,Harrier,2019,13.29,Diesel,Manual,3300,274.8,0.0,9.1,71091,6,745954,567527
Maruti,Dzire,2005,17.05,Hybrid,Manual,1900,151.0,39.8,6.7,61981,5,2813782,562756
Mahindra,XUV300,2013,27.26,Electric,Manual,900,110.3,51.9,9.5,143909,4,2130168,687906
BMW,X1,2016,20.94,Diesel,Manual,2800,246.5,0.0,9.5,104341,5,698864,374180
Mercedes,E-Class,2023,29.46,Electric,Manual,800,98.0,54.9,6.7,21227,5,425395,390732
Tata,Harrier,2010,29.72,Electric,Automatic,3500,277.6,62.7,6.1,195915,6,1835764,726943
Skoda,Kushaq,2006,24.75,Electric,Manual,3200,243.6,35.5,5.3,18438,4,2221022,444204
MG,Gloster,2018,12.14,Petrol,Manual,2000,185.0,0.0,7.3,91187,4,3220170,1996167
Mercedes,E-Class,2003,22.43,Electric,Automatic,2700,236.4,41.9,8.3,173595,4,2320003,464000
BMW,X3,2005,19.53,Hybrid,Manual,2000,172.6,23.0,6.5,50928,4,517640,103528
Honda,Jazz,2009,16.47,Hybrid,Automatic,3500,268.4,71.9,7.5,43449,7,2798108,606733
Ford,Ecosport,2001,29.95,Petrol,Manual,2800,220.9,0.0,7.8,40255,6,3088573,617714
Mahindra,Thar,2002,24.85,Hybrid,Manual,1300,144.5,60.9,7.0,56894,6,1162234,232446
Nissan,Sunny,2006,25.31,Electric,Manual,800,89.2,55.1,9.9,128317,6,1900197,380039
MG,Gloster,2012,18.4,Hybrid,Automatic,1900,168.2,77.3,9.3,80139,6,3377743,2038738
Tata,Harrier,2008,17.59,CNG,Automatic,1700,144.4,0.0,9.1,150220,7,1516936,303387
Mercedes,E-Class,2003,12.82,Electric,Automatic,2500,223.6,61.5,9.7,161913,7,3618015,723603
Tata,Altroz,2023,28.68,Petrol,Automatic,2400,214.4,0.0,7.9,137439,4,1207364,1044743
Renault,Triber,2010,20.55,Hybrid,Manual,1900,181.9,69.0,8.8,138612,6,3235882,647176
Hyundai,i20,2021,10.75,Hybrid,Manual,2200,200.8,55.9,9.6,12888,6,2812862,2240090
Ford,Aspire,2019,29.4,Diesel,Automatic,3200,270.9,0.0,7.0,84683,5,2989694,1583911
Maruti,Baleno,2019,14.47,CNG,Automatic,2400,188.2,0.0,9.0,170433,5,2538141,2019848
Honda,City,2017,24.05,Diesel,Manual,1900,184.8,0.0,7.2,22277,4,413001,251291
Honda,WRV,2021,28.32,Diesel,Manual,3500,273.2,0.0,9.3,136232,5,2040612,1552159
Mahindra,Scorpio,2000,11.77,Petrol,Manual,1000,117.3,0.0,6.2,70129,4,533225,106645
Tata,Nexon,2014,22.37,Hybrid,Manual,1400,131.9,20.9,7.1,176802,7,492187,324366
Ford,Ecosport,2006,10.61,CNG,Automatic,1500,125.6,0.0,5.6,37847,7,2997535,1147263
Honda,Jazz,2012,19.4,Petrol,Manual,2900,221.3,0.0,8.0,24323,7,1155992,319501
Ford,Aspire,2017,25.58,Electric,Automatic,2000,176.5,57.0,5.6,179331,6,3199461,1647016
Toyota,Fortuner,2020,14.11,Hybrid,Manual,3000,238.7,67.4,9.1,91065,4,805448,508535
Ford,Figo,2024,10.84,Electric,Automatic,1100,97.8,51.7,6.0,24589,5,1144477,1064957
Ford,Aspire,2001,18.86,Diesel,Automatic,3900,285.0,0.0,9.3,88846,4,2381856,476371
Toyota,Glanza,2007,14.66,Diesel,Automatic,3000,248.5,0.0,5.3,55273,4,2818475,563695
Tata,Nexon,2010,15.32,Petrol,Automatic,900,104.0,0.0,8.9,71926,5,1258129,251625
Honda,City,2014,19.21,Hybrid,Manual,3300,262.3,21.2,6.2,28862,7,3265280,653056
Tata,Nexon,2000,25.77,Diesel,Automatic,800,81.6,0.0,8.5,89805,5,538901,108389
Tata,Tiago,2015,28.66,Petrol,Manual,3800,309.1,0.0,9.2,12164,7,601552,321383
Skoda,Kushaq,2009,22.97,Hybrid,Automatic,4000,291.8,74.0,9.1,63635,4,3182107,636421
Kia,Seltos,2015,10.53,CNG,Automatic,2900,231.1,0.0,7.6,55187,6,991023,523276
Hyundai,Verna,2019,16.89,Petrol,Manual,2700,202.9,0.0,6.4,103111,5,3418675,1901847
Ford,Aspire,2005,11.92,CNG,Automatic,2300,205.8,0.0,8.9,95436,7,1507714,301542
Honda,Amaze,2007,27.63,Petrol,Manual,1600,138.5,0.0,8.2,7947,6,3019935,603987
Ford,Figo,2021,17.66,CNG,Manual,1600,143.7,0.0,6.3,134401,4,3988189,3134789
Toyota,Innova,2023,23.0,Electric,Manual,3500,292.2,30.2,9.7,168712,6,2469620,2122734
Maruti,Alto,2006,18.76,Hybrid,Manual,1300,138.8,32.4,7.0,115361,6,695803,173994
Hyundai,Creta,2004,22.16,Electric,Manual,1200,138.9,61.4,9.2,198043,5,3674598,734919
BMW,X1,2007,24.76,Hybrid,Automatic,3800,297.1,64.6,6.8,179524,5,2445968,489193
Tata,Safari,2015,10.59,Electric,Manual,2500,189.3,67.5,9.0,166257,6,715190,349643
Nissan,Magnite,2024,29.96,CNG,Manual,3500,257.6,0.0,5.8,152216,6,1470089,1401322
BMW,5 Series,2005,11.43,Diesel,Manual,3600,263.9,0.0,6.0,38261,5,1526375,349205
BMW,X3,2002,26.08,Diesel,Automatic,800,108.4,0.0,6.0,178367,5,2395655,479131
Toyota,Fortuner,2001,26.34,Hybrid,Manual,3100,245.4,65.4,6.8,138537,6,714492,142898
Ford,Aspire,2000,26.32,Petrol,Manual,3400,269.5,0.0,6.6,56631,7,1892358,378471
Toyota,Yaris,2014,12.97,Diesel,Manual,1500,125.6,0.0,9.0,144301,7,2604218,937905
MG,Hector,2007,14.53,Diesel,Manual,2100,185.0,0.0,5.1,64466,6,3843032,768606
BMW,X1,2023,11.31,Electric,Automatic,1700,168.2,55.3,8.1,128025,5,453255,400048
Ford,Figo,2003,16.93,Hybrid,Manual,2900,243.7,32.9,9.5,108728,5,3480042,696008
Mercedes,A-Class,2017,11.12,Electric,Automatic,3400,268.5,64.2,7.7,67291,4,907096,445039
Honda,Jazz,2003,10.43,Electric,Automatic,3200,247.7,21.9,7.5,82375,4,3985005,797001
Toyota,Innova,2023,26.31,Petrol,Automatic,3900,286.1,0.0,5.1,7254,7,2720816,2405571
MG,Hector,2019,14.95,Diesel,Manual,3800,291.6,0.0,8.5,174939,6,857168,463646
Maruti,Baleno,2021,19.75,Petrol,Manual,1300,144.1,0.0,5.3,197406,4,2848106,2450886
Kia,Sonet,2017,22.01,Electric,Automatic,2600,214.5,54.2,8.6,187594,7,2142957,1011177
Maruti,Alto,2002,27.99,CNG,Manual,1800,147.2,0.0,7.4,167035,4,1945540,389108
Maruti,Swift,2009,12.23,Hybrid,Manual,2600,200.3,28.5,7.8,146706,5,3508028,730587
Kia,Carens,2005,11.26,CNG,Manual,1800,149.1,0.0,7.9,60395,4,3867016,773403
Mahindra,XUV700,2009,12.84,CNG,Manual,3300,273.5,0.0,5.7,125918,5,1547382,309476
Kia,Sonet,2000,17.38,CNG,Automatic,1500,131.9,0.0,9.7,120548,4,3343627,668725
Honda,Amaze,2006,20.6,Hybrid,Manual,2800,237.9,30.3,9.0,94142,6,3110116,622023
Renault,Triber,2000,16.67,Petrol,Automatic,3200,246.0,0.0,8.8,169449,7,2939949,587989
Ford,Ecosport,2020,14.45,Hybrid,Manual,3100,246.2,77.7,5.4,13768,4,1071819,729720
MG,Astor,2001,19.22,Electric,Automatic,3600,262.9,72.3,8.6,21690,7,1360152,272030
Tata,Harrier,2015,12.01,CNG,Automatic,3800,304.1,0.0,9.8,141027,4,1895927,901871
BMW,X3,2005,19.96,Electric,Manual,800,96.0,25.8,6.7,76420,4,2024751,404950
Renault,Kwid,2000,23.87,Electric,Automatic,900,119.1,24.5,8.8,57561,4,1736835,347367
BMW,X3,2014,17.92,Electric,Automatic,4000,287.6,28.8,5.8,67716,6,2769340,553868
Mercedes,A-Class,2021,28.32,Electric,Manual,4000,319.7,41.9,9.1,104277,6,2217396,1539267
Skoda,Kushaq,2014,21.69,Electric,Automatic,3000,222.4,68.3,9.4,135002,5,1605256,544335
Tata,Nexon,2018,25.16,Electric,Automatic,3500,290.2,29.2,8.0,176948,6,3892839,3012625
Toyota,Innova,2014,27.54,CNG,Automatic,2600,230.9,0.0,6.0,98818,6,1639649,1049780
BMW,5 Series,2025,23.03,Electric,Manual,2000,164.6,64.3,5.1,187827,5,1133722,1133722
Kia,Carens,2007,24.82,Petrol,Manual,3100,232.4,0.0,9.0,151178,7,731876,146375
Mahindra,Thar,2002,15.13,Petrol,Manual,3900,288.6,0.0,5.1,152713,5,578999,150674
Maruti,Baleno,2011,21.86,Diesel,Automatic,1100,105.4,0.0,5.3,129459,5,2577659,539987
Honda,Jazz,2018,28.35,Electric,Manual,2000,183.8,56.7,6.8,48872,6,2159951,1559285
Nissan,Magnite,2025,15.37,Electric,Automatic,2700,216.8,58.0,8.1,109084,7,1819368,1819368
Toyota,Glanza,2023,23.14,CNG,Manual,2300,204.8,0.0,7.3,66300,4,2770112,2581269
MG,Hector,2023,18.75,Hybrid,Automatic,2000,161.1,37.8,5.8,152214,7,2276899,2081104
Hyundai,i20,2005,22.06,Petrol,Manual,2300,190.3,0.0,9.1,7565,6,3315433,663086
Honda,Jazz,2025,10.07,Hybrid,Automatic,1900,153.6,49.5,9.9,101908,7,3668146,3668146
Tata,Harrier,2006,19.42,Hybrid,Manual,800,75.6,69.7,7.7,162759,7,3981872,911826
MG,Astor,2024,28.71,CNG,Manual,3300,258.7,0.0,9.8,16596,4,1593938,1476345
BMW,3 Series,2007,15.22,Electric,Manual,2900,222.2,50.4,8.2,96385,6,3228158,645631
Renault,Kwid,2001,22.86,Electric,Automatic,1000,125.6,31.2,6.5,78383,5,3020350,604070
Kia,Carens,2005,26.49,Electric,Manual,3500,287.9,21.4,7.9,156698,4,1818272,363654
Hyundai,i10,2025,16.52,CNG,Automatic,2400,194.1,0.0,7.6,80957,7,2063180,2063180
MG,Gloster,2013,11.71,Hybrid,Automatic,1500,150.0,26.9,7.5,74057,6,3756536,1832344
Hyundai,Verna,2010,18.59,CNG,Manual,1800,176.0,0.0,6.7,137157,4,2136439,427287
Skoda,Rapid,2025,28.2,Electric,Manual,2600,206.0,48.9,7.6,176066,7,3117056,3117056
Mahindra,Thar,2003,12.46,Hybrid,Manual,800,88.7,65.8,7.0,146788,5,1945891,389178
Kia,Carens,2004,25.25,Petrol,Manual,2900,236.6,0.0,6.4,193630,5,1498478,299695
Renault,Kwid,2003,14.08,CNG,Automatic,3900,282.0,0.0,8.7,199921,7,884466,176893
BMW,X1,2020,19.83,Diesel,Manual,1600,161.7,0.0,9.2,138443,4,1293962,968595
Renault,Triber,2024,27.43,Electric,Automatic,1000,89.9,25.6,5.0,27263,5,2674997,2520722
MG,Astor,2022,12.01,Electric,Automatic,3700,297.4,68.8,6.5,66660,4,2380831,1880690
Toyota,Fortuner,2017,15.27,Electric,Manual,900,102.1,32.8,7.4,136591,7,2166106,1011154
Renault,Triber,2021,27.75,Diesel,Manual,1400,122.4,0.0,7.2,71866,4,1082520,798667
MG,Hector,2004,17.18,Hybrid,Automatic,3900,309.0,24.0,8.3,123567,6,1330520,266104
Renault,Kwid,2023,15.1,Diesel,Automatic,3300,278.0,0.0,6.0,139206,4,2633535,2398704
Maruti,Swift,2007,19.36,Hybrid,Automatic,3900,297.0,68.3,8.6,139191,7,1098407,219681
Maruti,Alto,2012,13.19,Hybrid,Automatic,2100,165.8,28.0,5.3,133167,6,1462518,416501
Maruti,WagonR,2002,25.23,Petrol,Manual,1800,163.6,0.0,9.0,137796,6,3100341,620068
Maruti,Dzire,2000,29.77,Hybrid,Manual,1900,182.0,26.6,8.9,78097,7,3745180,749036
Honda,Jazz,2007,20.34,Hybrid,Automatic,4000,291.0,22.0,8.4,53808,7,1375418,275083
Ford,Aspire,2008,24.58,Diesel,Manual,1900,154.6,0.0,7.6,30096,7,1502499,300499
Toyota,Yaris,2018,27.54,Petrol,Manual,1300,125.3,0.0,8.5,19573,6,2774449,1999904
BMW,3 Series,2016,28.48,Petrol,Automatic,3100,260.3,0.0,5.9,33252,4,2551806,1389018
Hyundai,i20,2022,15.71,Hybrid,Automatic,1800,143.4,55.3,5.9,153340,4,1891679,1587004
MG,Hector,2002,21.85,CNG,Manual,3700,270.3,0.0,9.7,184080,6,1730331,346066
MG,Hector,2009,22.06,Hybrid,Automatic,1700,134.9,43.0,5.3,129039,7,3349798,669959
Honda,City,2014,20.76,CNG,Manual,1900,166.5,0.0,7.0,134885,7,2113929,599988
Toyota,Innova,2023,10.65,Petrol,Manual,3300,242.4,0.0,9.5,32045,5,3133866,2717359
Skoda,Rapid,2007,25.76,Petrol,Automatic,2700,219.7,0.0,8.9,28698,4,3830422,1447051
Renault,Duster,2002,24.56,CNG,Manual,2700,234.3,0.0,7.4,76197,7,3380985,676197
Nissan,Sunny,2012,17.08,CNG,Automatic,3100,232.2,0.0,5.1,103804,5,2422419,484483
BMW,X3,2025,15.78,Electric,Manual,3000,220.2,32.3,5.3,171985,5,2748173,2748173
Kia,Seltos,2004,10.63,Diesel,Manual,1500,128.5,0.0,7.3,61757,7,3997898,799579
Mahindra,XUV300,2001,28.18,Petrol,Automatic,1400,136.1,0.0,7.9,135122,5,510186,102037
Renault,Kwid,2018,21.36,Electric,Automatic,3800,305.3,63.7,9.6,191050,7,1715210,932997
Hyundai,Verna,2022,22.26,Petrol,Automatic,1100,99.4,0.0,5.8,174914,5,3839495,2922027
Renault,Triber,2024,12.97,CNG,Manual,1900,165.1,0.0,6.5,22678,7,2742784,2644119
Kia,Seltos,2014,29.78,Hybrid,Automatic,1500,141.7,20.6,5.8,34284,4,2222528,1454623
Skoda,Kushaq,2004,18.61,Petrol,Automatic,4000,304.9,0.0,8.8,65938,5,1109615,273592
Toyota,Innova,2020,16.22,Electric,Automatic,900,116.3,47.3,8.3,149959,7,1571216,1189188
Skoda,Rapid,2002,29.94,CNG,Manual,3100,253.9,0.0,6.7,72044,7,3387526,677505
Toyota,Innova,2005,17.87,Diesel,Manual,3300,275.2,0.0,8.6,37332,6,1600931,320186
BMW,X1,2009,19.99,Electric,Manual,1900,177.0,72.7,9.6,194544,5,2321350,464270
BMW,X3,2020,19.06,Hybrid,Automatic,3000,225.9,71.2,7.4,49252,4,2911998,1863810
MG,Hector,2018,10.65,Hybrid,Automatic,900,103.9,21.7,7.7,118989,6,2205668,1036579
Nissan,Kicks,2006,19.12,Electric,Automatic,2600,230.7,45.7,8.8,171140,7,3782214,756442
Maruti,Swift,2010,28.02,CNG,Automatic,1000,108.8,0.0,8.7,126777,7,2017271,965489
MG,Gloster,2011,16.18,CNG,Manual,2000,154.6,0.0,9.0,19326,4,2339542,893566
Tata,Tiago,2001,10.22,Electric,Manual,2800,210.3,27.2,9.7,192876,6,3548828,709765
Mercedes,GLA,2010,11.38,Hybrid,Manual,2700,213.3,34.2,7.6,162198,5,3670317,734063
Skoda,Rapid,2022,21.97,Diesel,Automatic,3200,246.6,0.0,8.4,133645,5,694954,580832
Skoda,Kushaq,2001,16.22,CNG,Manual,1200,139.8,0.0,9.5,75509,4,1182488,236497
Skoda,Kushaq,2002,11.97,Hybrid,Automatic,2100,163.2,31.1,9.8,110872,5,2888113,577622
Hyundai,Verna,2007,21.0,Hybrid,Automatic,3100,230.1,46.2,7.7,26468,5,3649520,1541767
Renault,Triber,2020,19.1,Petrol,Automatic,3400,269.4,0.0,6.3,179969,7,3458982,2437363
Ford,Figo,2023,11.44,Petrol,Manual,2900,222.7,0.0,5.7,29636,6,3066833,2847728
BMW,X1,2021,24.07,Diesel,Manual,3600,269.1,0.0,9.2,50735,4,3013902,2242189
Ford,Ecosport,2001,16.66,Diesel,Manual,1100,131.7,0.0,5.5,162852,4,2986330,597266
Hyundai,Verna,2021,27.75,Petrol,Automatic,3600,270.1,0.0,7.6,68487,7,1300165,902926
Ford,Figo,2010,22.65,CNG,Automatic,3800,296.6,0.0,5.7,190730,4,3775317,755063
Renault,Duster,2025,24.95,Diesel,Manual,1100,116.7,0.0,7.3,40047,4,1919298,1919298
BMW,3 Series,2001,13.65,Hybrid,Automatic,2200,167.4,79.1,9.6,37385,6,3269315,653863
Kia,Carens,2019,13.25,CNG,Manual,2700,232.4,0.0,9.0,139780,7,2277694,1443712
Ford,Ecosport,2009,16.27,Electric,Automatic,1100,112.0,78.0,7.7,171219,6,3163636,1173598
Mahindra,Scorpio,2016,18.18,Diesel,Automatic,900,90.8,0.0,8.4,6724,7,876904,434343
Mahindra,Scorpio,2019,16.32,CNG,Manual,1700,135.5,0.0,6.7,75250,5,3273608,2085787
Honda,WRV,2015,19.78,CNG,Manual,3100,239.5,0.0,9.1,165357,5,1177255,754766
Kia,Carens,2025,19.3,Electric,Manual,3500,275.4,39.9,5.2,51606,7,639823,639823
Mercedes,A-Class,2014,14.44,Hybrid,Automatic,2500,216.4,24.7,8.8,172265,6,3199744,2102024
Kia,Carens,2008,14.1,Diesel,Automatic,1000,90.0,0.0,6.6,88339,5,1313102,262620
Skoda,Slavia,2005,23.65,Petrol,Automatic,2200,168.5,0.0,9.6,78850,6,3130662,626132
Maruti,Alto,2025,15.74,Diesel,Manual,3400,265.3,0.0,7.6,35437,6,3728726,3728726
BMW,3 Series,2010,22.69,Hybrid,Manual,1300,112.8,42.2,9.4,32823,5,3803938,760787
BMW,X1,2007,10.43,Petrol,Manual,3000,252.9,0.0,5.2,138322,5,3754967,750993
Mahindra,Bolero,2003,10.07,Diesel,Automatic,800,83.9,0.0,5.3,134031,6,3783354,756670
Nissan,Sunny,2008,25.45,Petrol,Manual,3600,270.4,0.0,8.4,129014,5,2063792,412758
Tata,Nexon,2017,25.52,CNG,Automatic,3200,248.1,0.0,8.4,28016,4,1547719,790552
Honda,Jazz,2004,24.19,CNG,Manual,2600,209.8,0.0,8.3,64074,4,3578060,715612
Mercedes,A-Class,2023,22.54,Hybrid,Automatic,3000,236.6,29.7,6.2,119029,7,3355673,3082303
Honda,Jazz,2005,18.65,Hybrid,Automatic,1000,93.7,43.3,7.1,41420,5,2758427,551685
Toyota,Glanza,2024,23.46,CNG,Manual,2800,221.4,0.0,10.0,173704,5,1998343,1886303
Kia,Carens,2007,14.36,Petrol,Automatic,3800,310.4,0.0,7.9,196574,7,3021822,604364
Toyota,Glanza,2002,23.39,Hybrid,Manual,2900,219.5,60.9,6.1,57069,6,1827863,365572
MG,Hector,2001,22.95,Hybrid,Automatic,3000,225.7,30.2,5.1,125055,4,1777844,355568
Renault,Kwid,2002,27.78,Hybrid,Manual,3600,262.6,71.8,5.8,182541,7,3893204,778640
Hyundai,Venue,2024,11.69,Petrol,Manual,3300,248.0,0.0,8.8,114595,6,2923719,2739895
Nissan,Magnite,2003,18.46,Electric,Manual,800,87.7,74.1,7.6,66073,6,2082635,416527
Maruti,Swift,2003,19.61,Hybrid,Automatic,1900,149.6,25.2,7.2,145560,4,1555801,311160
BMW,X1,2004,28.7,Hybrid,Automatic,3100,257.0,51.0,8.9,53583,5,1312465,262493
Ford,Aspire,2016,12.12,Petrol,Automatic,3800,302.5,0.0,8.7,170996,5,3830926,1783797
MG,Hector,2010,23.16,Petrol,Automatic,1500,158.7,0.0,7.4,180434,5,3188345,637669
Honda,Jazz,2002,22.64,Petrol,Automatic,2200,200.4,0.0,6.5,181925,4,3910293,782058
Ford,Ecosport,2019,12.41,CNG,Manual,3100,237.9,0.0,8.4,179321,5,778819,627033
Ford,Aspire,2006,22.06,Diesel,Manual,2800,239.3,0.0,8.4,159713,7,1261711,252342
BMW,3 Series,2015,19.94,Diesel,Manual,3100,261.9,0.0,9.2,17876,7,3678896,1377398
Mahindra,Scorpio,2013,18.36,Hybrid,Automatic,2700,210.1,37.3,6.4,198404,7,1870667,955518
Renault,Duster,2016,22.27,Diesel,Automatic,3300,269.7,0.0,7.8,111947,5,431404,198996
Nissan,Kicks,2015,14.61,Diesel,Automatic,1300,144.4,0.0,6.4,151432,4,1516682,384856
Mahindra,XUV300,2001,27.48,Hybrid,Automatic,3000,221.6,76.9,8.6,38488,7,1065325,213065
Tata,Safari,2015,24.2,Petrol,Automatic,3100,230.6,0.0,8.1,147472,7,3308003,918315
Mahindra,XUV700,2022,19.85,Hybrid,Automatic,1300,121.6,34.0,6.9,38295,7,1917275,1596252
Tata,Harrier,2007,16.01,Diesel,Automatic,1500,154.8,0.0,9.9,165873,7,1913342,382668
